Name,Type
CPU,HardwareComponent
GPU,HardwareComponent
Memory,HardwareComponent
Motherboard,HardwareComponent
SSD,HardwareComponent
Network_Card,HardwareComponent
Power_Supply,HardwareComponent
Hard_Drive,HardwareComponent
RAM,HardwareComponent
Graphics_Card,HardwareComponent
Sound_Card,HardwareComponent
Optical_Drive,HardwareComponent
Heat_Sink,HardwareComponent
CPU_Cooler,HardwareComponent
Chassis,HardwareComponent
Monitor,HardwareComponent
Keyboard,HardwareComponent
Mouse,HardwareComponent
Laptop,HardwareComponent
Tablet,HardwareComponent
Server,HardwareComponent
Switch,HardwareComponent
Router,HardwareComponent
Printer,HardwareComponent
Scanner,HardwareComponent
Camera,HardwareComponent
Speakers,HardwareComponent
Microphone,HardwareComponent
External_Storage,HardwareComponent
